,eq,support,num_points
0,exp(-x_1**2/2)/sqrt(2*pi),"{'x_1': {'max': 3.0, 'min': 1.0}}",500
1,exp(-(x_2/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}}",500
2,exp(-((x_2-x_2)/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}}",500
3,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
4,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
5,x_1*x_3/(4*pi*x_2*x_3**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
6,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
7,x_1*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
8,1/2*x_2*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
9,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
10,(x_3+x_2)/(1+x_3*x_2/x_1**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
11,x_1*x_2*sin(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 0.0}}",500
12,x_1*x_2*x_3*sin(theta),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
13,x_1/x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
14,arcsix_1(x_1*six_1(x_2)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
15,1/(1/x_1+x_3/x_2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
16,x_1/x_2,"{'x_1': {'max': 10.0, 'min': 1.0}, 'x_2': {'max': 10.0, 'min': 1.0}}",500
17,x_1*six_3(x_3*x_2/2)**2/six_3(x_2/2)**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
18,arcsix_3(x_1/(x_3*x_2)),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 2.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
19,x_3/(1-x_2/x_1),"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
20,(1+x_2/x_1)/sqrt(1-x_2**2/x_1**2)*x_3,"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
21,(x_2/(2*pi))*x_1,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
22,x_1+x_2+2*sqrt(x_1*x_2)*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
23,4*pi*epsilon*(x_3/(2*pi))**2/(x_1*x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
24,3/2*x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
25,1/(x_1-1)*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 2.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
26,x_1*x_3*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
27,sqrt(x_1*x_2/x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
